Başlık;Kira Bedeli;İlan Metni;Mahalle;İlan Tarihi;Yerleştiği Kat;Kat Sayısı;Yaşı;Oda Sayısı;Genişliği;Eşya durumu;Isınma;Aidat
ŞİRİNYER İZBAN DİBİNDE 2+1 EŞYALI KİRALIK DAİRE;24.000 TL;Detaylı bilgi için arayınız;Menderes;01-10-2024;1. Kat;4 Katlı;12 Yaşında;2 + 1;/ 85 m2;;;
Şirinyer'de günlük 800 1+1;15.000 TL;Şirinyerde 1+1  günlük kiralamak istenirse 800 tl,;Barış;27-09-2024;Yarı Bodrum;3 Katlı;25 Yaşında;1 + 1;/ 45 m2;Eşyalı;;
BUCA YAYLACIK MAHALLESİ KİRALIK DAİRE;13.000 TL;"Dairemiz ferah, önü açık, markete, eczaneye, otobüs duraklarına yürüme mesafesindedir.
Balkon ve pencere için korkuluk siparişleri verilmiş olup bir hafta içinde takılacaktır.
Detaylı bilgi için lütfen arayınız.
Ahmet ERKEK
Telefonu Göster";Yaylacık;30-09-2024;Giriş Katı;3 Katlı;Sıfır Bina;1 + 1;/ 45 m2;Eşyalı Değil;;
Kiralık daire (öğrenciye);22.000 TL;"Ögrenciye Kiralık 3+1 daire
Öğrenciye kiralık daire
Hasanağa bahçesine yakın , 9 Eylül üniversitesine yakın
çift cepheli daire
Lütfen emlakçılar aramasın";Adatepe;04-09-2024;2. Kat;5 Katlı;15 Yaşında;3 + 1;/ 105 m2;Eşyalı;;
AY GAYRİMENKUL'DEN ADATEPE MH. 3+1 GENİŞ EYŞALI KİRALIK DAİRE!!;18.000 TL;"-AY GAYRİMENKUL'DEN-

AY GAYRİMENKUL'DEN BUCA ADATEPE MH. 3+1 GENİŞ KİRALIK EŞYALI DAİRE";Adatepe;11-10-2024;4. Kat;4 Katlı;11 Yaşında;3 + 1;/ 120 m2;Eşyalı;;100 TL
KAMPÜS YAKINI- HAVUZLU SİTE İÇİ KİRALIK 1+1 70m2 DAİRE!!;21.000 TL;"BUCANIN EN YENİ PROJELERİNDEN BİRİ 
7/24 GÜVENLİK VE KAPICI HİZMETİ

70m2 1+1 GENİŞ BALKONLU 
YERDEN ISITMALI
ÇİFT ASANSÖR
BUCA BATI ÇIKIŞINA 2 DAKİKA
TINAZTEPE FAKÜLTESİNE 2 DAKİKA 
KONFORLU VE GÜVENLİKLİ BİR YAŞAM ALANI SAĞLAMAKTADIR";Kuruçeşme;24-08-2024;3. Kat;6 Katlı;4 Yaşında;1 + 1;/ 60 m2;Eşyalı;Doğalgaz;1.050 TL
Buca Çamlıpınar'da 2+1 Kiralık Daire;11.000 TL;"MY HOUSE EMLAKTAN KİRALIK




DETAYLI BİLGİ VE RANDEVU İÇİN ARAYINIZ...";Çamlıpınar;11-10-2024;En Üst Kat;4 Katlı;20 Yaşında;2 + 1;/ 80 m2;Eşyalı Değil;Kömür-Odun;
1+1 ve 2+1 Lüks Apart Daireler - Konforlu ve Lüks Günlük Evler;400 TL;Hijyen ve apart temizliği konusu en çok önem verdiğimiz konulardan biridir. Günlük kiralanan daire siz konaklamadan önce ve sonra apart temizlik görevlilerimiz tarafından temizlenir ve son kontrolleri yapıldıktan sonra size teslim edilir.Tüm mutfak araç gereçleri mevcuttur. Klimalı , termosifonlu resepsiyon hizmeti vermekteyiz.- TINAZTEPE HASTANESİNE 50 M- DEÜ KAMPÜSE 100 M- - SÜPERMARKET 30 M- OTOBANA 300 M- AVM 3 KM-ALAÇATI 70 KM- ÇEŞME 80 KM  Telefonu Göster-- Telefonu Göster;Adatepe;03-10-2024;En Üst Kat;5 Katlı;5 Yaşında;2 + 1;/ 70 m2;Eşyalı;;
Buca Çaldıran Mah.//Polisokulu Arkası Uçanyolyakını//Şirinyer İzbana 15dk Mesafede//Emekliye Daire;12.000 TL;"İzmir Buca Şirinyer Çaldıran MAhallesinde POlisokulu Arkası Gürçeşme Huzurevi Karşısı Uçanyolyakını Konak Tünllerine 2dk
Şirinyer İzbana 15dk Yürüme mesafesinde 2 Katlı Evin Zeminkatı 2+1 Daire.
NOT: EMEKLİ KARI KOCAYA VERİLCEKTİR MEMUR KEFİL ŞART......";Çaldıran;12-10-2024;Zemin;2 Katlı;30 Yaşında;2 + 1;/ 77 m2;;;
Buca mustafa kemal mah kiralık daire reb gayrimenkulden;22.000 TL;"Dairemiz sifir bir daire dogalgazli 
Iki  artı 1 daire 110 m2 dir.
Ulasim alanlarina yakindir.
Detayli bilgi icin arayiniz.";Mustafa Kemal;20-09-2024;Yüksek Giriş;4 Katlı;Sıfır Bina;2 + 1;/ 100 m2;Eşyalı Değil;Doğalgaz;150 TL
BUCA I ULUSALOFIS GAYRIMENKUL 2+1 ESYALİ KİRALİK DAIRE;22.000 TL;"BUCA MENDERES MAHALLESİ 
 2+1
FULL ESYALI 
 DOGALGAZLI  
MERKEZİ YERDE  
ACIK MUTFAK
ODALAR GENİŞ  .";Menderes;05-09-2024;2. Kat;5 Katlı;35 Yaşında;2 + 1;/ 100 m2;Eşyalı;Doğalgaz;100 TL
MARKA'DAN ANACADDE&KAMPÜS YAKINI EŞYALI KLİMALI KİRALIK DAİRE;15.000 TL;"***MARKA GAYRİMENKUL'DEN***
1+1
FULL EŞYALI
KLİMALI
MERKEZİ KONUM
HASANAĞA BAHÇESİNE VE KOZAĞAÇ MEYDANA 
YÜRÜME MESAFESİNDE
İNTERNET ALTYAPISI HAZIR
KİRALIK DAİRE
DETAYLI BİLGİ İÇİN : SERGEN TONBUL
Telefonu Göster";Kozağaç;02-10-2024;2. Kat;3 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
ÇAMLIKULE MH. MERKEZİ KONUMDA // 2+1 // D.Gazlı ARAKAT KİRALIK;16.500 TL;"GENEL ÖZELLİKLERİ 

* 2+1  
* KAPALI MUTFAK - DOGALGAZLİ
* 120 M2 
* 2 BALKON
* ÇİFT TUVALET
* ARAKAT
* KİLER
- AİLE APARTMANIDIR - KEFİL İSTENMEKTEDİR. 
 KONUM - MUHİT 
Dairemiz ÇAMLIKULE Mah.'de Olup ; 
KOZAĞAÇ Meydan Yakını ,
Konum itibariyle çok merkezi konumda ve tüm temel ihtiyaçlar elinizin altındadır.
Civarındaki ; market, avm, eczane, pastane, fırın, cafe & 
restoranlardan sosyal ihtiyaçlarınızı 2-3 dk'da karşılayabilirsiniz.
 ULAŞIM 
Daire çıkışı Caddeden geçen Eshot otobüs ve Dolmuşlarla heryöne ulaşımınızı sağlayabilirsiniz.

DAHA DETAYLI BİLGİ VE RANDEVU İÇİN ;
 SERCAN ÇAKIR - Telefonu Göster 
Ofisimiz ve Danışmanlarımız MYK-5 Yetki Belgelidir.
Danışman Mesleki Yeterlilik Belge No : YB0053/17UY0333-5/00/2455
EMLAK SHOP Firma Yetki Belge No : 3502089";Çamlıkule;04-10-2024;3. Kat;4 Katlı;16 Yaşında;2 + 1;/ 120 m2;Eşyalı Değil;;
BARIŞ MAH 1+1 DOĞALGAZLI EŞYALI KİRALIK DAİRE;18.500 TL;"* Ecevit parkına, Yeni Emniyet Müdürlüğüne, Vergi Dairesine yakın

* Full eşyalı yeni durumda, tv merkezi sistem, doğalgazlı, bahçe katı, Geniş Aydınlık 1+1 daire
* Aile apartmanı güvenli bir ortam mevcuttur.

DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ.

      FİRMAMIZ YETKİ BELGESİNE SAHİPTİR. YETKİ BELGE NO: 3503131

       YETKİ BELGESİNE SAHİP OLMAYAN FİRMALARA LÜTFEN İTİBAR ETMEYİNİZ.";Ufuk;27-09-2024;Zemin;4 Katlı;8 Yaşında;1 + 1;/ 60 m2;Eşyalı;Doğalgaz;
SAHİBİNDEN DEÜ TINAZTEPE KAMPÜSE SIFIR KONUMDA KLİMALI DAİRE;14.000 TL;"BUCA ATATÜRK MAHALLESİ METİN GÖKTEPE CADDESİNDE BULUNAN DAİREMİZ , BUCA TINAZTEPE KAMPÜSE SADECE 2 DAKİKA YÜRÜME MESAFESİNDEDİR , APARTMANDA FİBER İNTERNET VE KABLO TV AKTİF OLARAK KULLANILMAKTADIR , APARTMAN İÇİNDE VE DIŞINDA

7/24 GÜVENLİK KAMERASI BULUNMAKTA OLUP , AYRICA DAİREMİZİN PENCERELERİ DEMİR KORUNAKLIDIR SON DERECE GÜVENLİDİR , APARTMANDA MERKEZİ UYDU SİSTEMİ DEPREM* İÇİN SIĞINAK VE ASANSÖR'DE MEVCUTTUR , DAİREMİZ ÖĞRENCİYE VE DEVLET MEMURUNA KİRALIKTIR , ÖĞRENCİNİN DAİREYİ KİRALARKEN VELİSİYLE BİRLİKTE GELMESİ ŞARTTIR , DAİREMİZİ BİRDEN FAZLA ÖĞRENCİNİN KİRALAMASI VE DAİREMİZDE , BİRDEN FAZLA ÖĞRENCİNİN BARINMASI KABUL EDİLMEZ , DAİREMİZ TEK YAŞAYACAK OLAN ÖĞRENCİYE VEYA DEVLET MEMURUNA KİRALIK OLUP , YABANCI UYRUKLU KİŞİLERE KİRALAMA KESİNLİKLE YAPILMAZ ,

1 KİRA BEDELİ OLAN DEPOZİTO KİRALAMA ANINDA PEŞİN OLARAK ALINIR , KİRACININ YAZILI OLARAK TAHLİYE TAHAHÜTNAMESİ , AYRICA EŞYA TEMİNAT SENEDİ VERMESİ ŞARTTIR ,

DETAYLI BİLGİ İÇİN TELEFON NUMARASINDAN ARAYARAK İLETİŞİME GEÇEBİLİRSİNİZ



* “Bu gayrimenkulün depreme dayanıklılığı konusunda hepsiemlak hiçbir taahhüt verememektedir. Detaylı bilgi için lütfen ilan sahibiyle görüşünüz.”";Atatürk;13-10-2024;Giriş Katı;6 Katlı;4 Yaşında;1 + 1;/ 48 m2;Eşyalı;Elektrik;250 TL
SANE GAYRİMENKUL DEN BUCA ADATEPE DE HASANAĞA PARKİ YAKINI KİRALIK DAİRE;21.000 TL;Adatepe mah. kıbrıs CAD. buca Hasanağa bahçesi yanı  2.kat (arakat) asansörlü klimalı balkonlu ückuyular otobüs duraklarına yakın kiralık daire Memur ve iki kız öğrenci tercih edilir.;Adatepe;16-09-2024;2. Kat;4 Katlı;10 Yaşında;2 + 1;/ 75 m2;Eşyalı Değil;Elektrik;300 TL
BUCA YENİGÜN'DE KAYMAKAMLIK HALK EĞİTİM KARŞISI 3+1 120 M2 ARAKAT BALKONLU KİRALIK DAİRE;14.000 TL;DETAYLI BİLGİ VE YER GÖRME TALEBİNİZ İÇİN ARAYINIZ;Yenigün;12-10-2024;2. Kat;4 Katlı;15 Yaşında;3 + 1;/ 120 m2;Eşyalı Değil;Elektrik;
ATÖLYE'DEN HASANAĞA BAHÇESİ YAKINI TADİLATLI 135 M² KİRALIK 3+1;18.500 TL;"DAİREMİZİN ÖZELLİKLERİ

DAİREMİZ 
3+1
135 M² 
3 BALKONLU
YENİ TADİLATLI BADANA BOYASI SIFIR
DOĞAL GAZLI
KLİMALI

DAİREMİZİN ODALARI ÇOK GENİŞ VE FERAHTIR KARANLIK ODASI YOKTUR
KONUM OLARAK ATATÜRK MAHALLESİNDE OLUP 100 METRE MESAFEDE YER ALIP
BİNA AİLE BİNASIDIR
ÖĞRENCİYE YADA AİLEYE UYGUN DAİREDİR
 MERKEZİ KONUMDA YER ALMAKTADIR.

RANDEVU İÇİN LÜTFEN İLETİŞİME GEÇİNİZ 
GAYRİMENKUL DANIŞMANI 
SAMET KAÇAR";Atatürk;07-10-2024;1. Kat;4 Katlı;20 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;Doğalgaz;
3+1 EŞYALI KİRALIK DAİRE HASANAGA BAHÇESİNE 800 MTRE;30.000 TL;Detaylı bilgi için arayiniz;Yıldız;18-09-2024;2. Kat;2 Katlı;4 Yaşında;3 + 1;/ 130 m2;Eşyalı;Doğalgaz;
TURYAP BUCA'DAN ÇAMLIPINAR MAH.DE ARA KAT EŞYALI KİRALIK 2+1 DAİ;18.250 TL;"DAİREMİZ, ÇAMLIKULE MAHALLESİ SEMT PAZARI YAKININDA YER ALMAKTADIR.
ARAKAT 
EŞYALI (ANKASTRE SETİ, TV, BUZDOLABI, ÇAMAŞIR MAKİNESİ, KOLTUK, YATAK VE GÖMME DOALPLAR MEVCUTTUR)
EBEVEYN BANYOLU
FERAH VE GENİŞ ODALARI OLAN AİLE  BİNASIDIR.
ÇİFT YATAK VE ÇİFT TELEVİZYON BULUNMAKTADIR.
İKİ ÖĞRENCİNİN VEYA ÜÇ KİŞİLİK AİLENİN RAHATLIKLA KALABİLECEĞİ BİR YER.
ULAŞIM OLARAK, 105, 805, 171 VE GAZİEMİR DOLMUŞLARI YAKININDA GEÇMEKTEDİR.
DETAYLI ARAMAK VEYA RANDEVU İÇİN;
TURYAP BUCA TEMSİLCİLİĞİ
BAKİ POLAT
Telefonu Göster
KOD: 2016


Bu ilan Emlak Asistanım CRM Programı tarafından otomatik entegre edilmiştir.";Çamlıpınar;18-09-2024;2. Kat;3 Katlı;13 Yaşında;2 + 1;/ 90 m2;Eşyalı Değil;Doğalgaz;20 TL
-AY GAYRİMENKUL'DEN- YAYLACIK MH. 4+1 EŞYALI KİRALIK DAİRE!!;24.950 TL;"-AY GAYRİMENKUL'DEN

AY GAYRİMENKUL'DEN 4+1 150m2 EŞYALI KİRALIK DAİRE!

Yenigün mahallesinde bulunan bu evimiz

Dört oda bir salondan oluşmaktadır

Tüm odaları geniş kullanım alanına sahip olan bu dairemiz

Tüm kullanım araçlarına sahiptir

Geniş bir salona sahip olan bu dairemizin

Temiz bir oturma grubu bulunmaktadır

Kapalı mutfağa sahip durumda olup

Eksik görülen tüm eşyalar ev sahibi tarafından ayarlanacaktır

Arkata olup doğalgazı bulunan dairemizin ısı konusunda hiçbir sıkıntısı bulunmamaktadır

Çift cepheli olup her iki cephesindede balkon bulunan bu dairemizde

TV,Buzdolabı,Çamaşır,Bulaşık,Oturma grubu,Bir çift bir tek kişilik yatak dahil

Tüm demirbaş eşyalar sorunsuz ve eksiksiz bulunmaktadır

Öğrenci ve çalışana uygun olan bu dairemiz

ECZANE,ESHOT-MİNİBÜS DURAKLARI,BELEDİYE,ANASINIFI İLKOKUL ORTAOKUL VE LİSELERE,MARKET,AVM
MANAV,FIRIN,CAFE,PARK,SOSYAL AKTİVİTE ALANLARI GİBİ BİRÇOK YERE YÜRÜME MESAFESİNDEDİR

 GAYRİMENKUL'ÜN PAZARLANMASI VE KİRALANMASINDA
TEK YETKİLİ AY GAYRİMENKUL'DÜR!!!
DAHA DETAYLI BİLGİ VE RANDEVU İÇİN
LÜTFEN İLETİŞİME GEÇİNİZ.
  
ECEM MOL
Telefonu Göster
 AY GAYİMENKUL
***SATMANIN VE KİRALAMANIN
EN HIZLI VE GÜVENİLİR ADRESİ***

TİCARET ODASI YETKİ BELGESİ
NO:3504568";Yaylacık;27-09-2024;3. Kat;4 Katlı;16 Yaşında;4 + 1;/ 130 m2;Eşyalı;;150 TL
GOLDİA HASANAĞA PARKI YAKINI EŞYALI KİRALIK 1+1;16.000 TL;DETAYLI BİLGİ İÇİN ARAYINIZ;Adatepe;25-09-2024;2. Kat;4 Katlı;4 Yaşında;1 + 1;/ 55 m2;Eşyalı;Doğalgaz;150 TL
sahibinden temmuza kadar kiralık eşyalı stüdyo daire;13.000 TL;Müstakil girişli kendine ait Bahçeli eşyalı stüdyo daire. Temmuz ayına kadar kiralık olup noterden temmuza kadar sözleşme yapılacaktır. Yazın daire satılacak. Daha önceki evimi kiracılı satmakta problem yaşadığım için bu şartlarda kiraya verilecek. Ayrıca temmuz ayında bosaltilmamasi karşılığında önlem olarak 100bin TL'lik senet yapılacaktır.;Adatepe;30-09-2024;Bahçe Katı;5 Katlı;5 Yaşında;1 + 1;/ 35 m2;Eşyalı;;50 TL
Menderes Mah. 3+1 120 M2 Doğalgazlı Lüks Eşyalı Kiralık Daire;25.000 TL;"TURYAP ŞİRİNYER TEMSİLCİLİĞİ'NDEN KİRALIK
MENDERES MAHALLESİNDE 3+1, KAPALI MUTFAK, 120 M2, DOĞALGAZLI, ÇİFT CEPHELİ, TEK BALKONLU, PANJURLU, ÇİFT KLİMALI, KAPALI ÇATILI LÜKS FUL EŞYALI, GENİŞ, FERAH, AİLE APARTMANINDA, KEYİFLE OTURABİLECEĞİNİZ, KİRALIK BAKIMLI TEMİZ DAİRE.

DAİREMİZ KONUM OLARAK KIZ KULESİ VE BUCA BELEDİYESİ YAKININDA YER ALMAKTA OLUP ; VERGİ DAİRESİNE, BARIŞ PAZARYERİNE, SEYFİ DEMİRSOY CADDESİNE, ŞİRİNYER İZBAN İSTASYONUNA, ŞİRİNYER PAZARYERİNE, FORBES CADDESİNE YÜRÜYÜŞ VE 2-3 DAKİKALIK ARAÇ MESAFESİNDEDİR.

DAİRENİN KİRALANMASINDA TEK YETKİLİ TURYAP ŞİRİNYER TEMSİLCİĞİDİR.

                          AYRINTILI BİLGİ VE ALTERNATİF SEÇENEKLERİMİZ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ.";Menderes;05-10-2024;3. Kat;3 Katlı;25 Yaşında;3 + 1;/ 100 m2;Eşyalı;Doğalgaz;
Kuruçeme Pazar Yeri Karşısı Arakat Kombili Kiralık 2+0 Daire;14.000 TL;"EVİMİZ ÖZEL TASARIM

HAZIR MUTFAK

HİLTON BANYO

BALKON

KOMBİLİ

ARAKAT

GÜNEŞ ALAN KONUMDA

OKULUN PAZARIN KARŞISINDA

AHMET YESEVİ CADDESİNE 1 DAKİKA YÜRÜME MESAFESİNDE";Kuruçeşme;17-09-2024;2. Kat;4 Katlı;5 Yaşında;2 + 0;/ 60 m2;Eşyalı Değil;Doğalgaz;
SAFİR'den Kampüs Karşısı Eşyalı Kapalı Mutfak 1+1 Kiralık Daire;15.000 TL;"KURUÇEŞME MAHALLESİ 
1+1  50 M² EŞYALI BALKONLU
 KAMPÜSE YÜRÜME MESAFESİ ÖĞRENCİYE UYGUN
DOGALGAZLI//BALKONLU
 KONUM DOĞRU İŞARETLENMİŞTİR.
Dolmuş ve Otobüs Duraklarına 50 Metre
En Çok Güneş Alan GÜNEY CEPHE
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Kuruçeşme;08-10-2024;1. Kat;3 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
ŞİRİNYER İZBAN YAKINI 3+1 ARAKAT DAİRE;18.500 TL;"ŞİRİNYER İZBAN YAKINI 3+1 130 M2
3 BALKONLU 
ÇİFT WC 
ARAKAT 
DAİREMİZ KİRALIKTIR.
ULAŞIM SIKINTISI OLMAYAN ÇARŞI,MARKET ,OKUL ,PAZAR V.S YERLERE YAKIN OLMAKLA BERABER NEZİH BİR SEMTTİR.
NOT: DAİREMİZDE KOMBİ PETEK TAKILI DEĞİLDİR. KİRAYA VERİLDİKTEN SONRA TAKILACAK";Hürriyet;13-10-2024;3. Kat;4 Katlı;26 Yaşında;3 + 1;/ 130 m2;Eşyalı Değil;;
MARKA'DAN CADDE ÜZERİNDE 3+1 ARAKAT D.GAZLI KİRALIK DAİRE;20.000 TL;"***MARKA GAYRİMENKULDEN***
3+1  (AÇIK MUTFAK)
ARAKAT
DOĞALGAZLI
ÖNDE VE ARKADA BALKON MEVCUT
ÇİFT WC
KONUMU DOĞRU İŞARETLİ
İLETİŞİM : Telefonu Göster";Atatürk;15-09-2024;2. Kat;4 Katlı;21 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;;
Ev Sahibinden Kiralik 2 Oda 1 Salon Eşyalı 110m2 Daire;13.000 TL;"ODA OLARAK KIRALIK DEGILDIR

KONUM OLARAK:

Buca Sirinyer Barış mahallesi üzerinde izbana yürüme mesafesi 10 dakikadır marketlere semt pazarına yürüme mesafesidir Forbest çarşıya 10 dakika yürüme mesafesidir 

DAİRE BILGILERI
2 Oda 1 Salon doğalgaz kombili 5 yıllık aile apartmaninda güvenilir bina girişi kamera sistemli düzgün asansörle binadir 

RESIMLER DAİREYE AITTIR EŞYALAR GUNCELDIR BU SEKILDE KIRAYA VERILIR 

ŞEHİR DEGISIKLIGI YAŞADIĞIMIZ IÇIN ARTAN NAKLİYE MASRAFLARI YÜZÜNDEN BU ŞEKİLDE ESYALI KİRAYA VERIYORUM 

DÜZENLİ ISI OLAN GÜVENİLİR KISILER ARASIN LÜTFEN";Barış;12-10-2024;3. Kat;5 Katlı;8 Yaşında;2 + 1;/ 110 m2;Eşyalı;Doğalgaz;150 TL
İzmir Buca Kiralık ev;9.500 TL;"Acil İzmir buca Kiralık ev ilk gelene opisyonlanacaktir 

Evcil hayvan beslenmesi kesinlikle yasaktır
Gürültü konusunda dikkat edelim 
Kiracımıza hayırlısı olsun";Atatürk;14-10-2024;Ara Kat;3 Katlı;6 Yaşında;2 + 1;/ 70 m2;;;
Kiralık Dairemiz öğrenciye veya kamu.personeline;17.500 TL;Açık mutfak 3+1 dairemiz, kartonpiyerli, laminat parkeli, amerikan panel kapı, çelik kapı, pvc doğramalar fıratpen, klimalı, doğalgazı, güney ve kuzey 2 cephe çift balkon, hilton banyo dolabı, çift tuvalet,  küvet sanica, duşakabin, termosifon, mutfak dolabı 2 duvar kaplı son derece geniş ve kullanışlı, çatılı, 2 katlı binanın 2 .katı müstakil tadında. Apartman yaşamına uyum sağlayabilecek, komşuları rahatsız etmeyecek kiracı arıyoruz.;Yıldız;10-10-2024;En Üst Kat;2 Katlı;29 Yaşında;3 + 1;/ 105 m2;Eşyalı Değil;Doğalgaz;
Buca Dumlupınar Mah. 2+1 Eşyalı Kiralık Daire;20.000 TL;Merkezi Konumda Toplu Ulaşıma Yakın9 Eylül Kampüsüne Yürüme MesafesindeEşyalıDoğalgazlı               Detaylı Bilgi İçin Arayınız...;Dumlupınar;30-09-2024;4. Kat;4 Katlı;9 Yaşında;2 + 1;/ 75 m2;Eşyalı;;
BUCA YAYLACIK MAHALLESİ 1+1 DAİRE;15.000 TL;"Dairemiz ferah, önü açık, merkeze yakın, eczaneye, markete, otobüs duraklarına yürüme mesafesindedir.
Pencere için korkuluk siparişleri verilmiş olup bir hafta içinde takılacaktır.
Detaylı bilgi için lütfen arayınız.
Ahmet ERKEK
Telefonu Göster";Yaylacık;30-09-2024;1. Kat;3 Katlı;Sıfır Bina;1 + 1;/ 45 m2;Eşyalı Değil;;
DOĞUM HASTANESİ KARŞISINDA 3+1 KİRALIK DAİRE;23.000 TL;Buca Yıldız Mahallesi'nde, doğum hastanesinin karşısında yer alan kiralık daire, hem konum hem de özellikleriyle dikkat çekiyor. 100 metrekare büyüklüğünde olan bu 3+1 daire, doğalgazlı olması sayesinde kış aylarında sıcak ve konforlu bir yaşam sunar. Ayrıca, alışveriş merkezlerine yakınlığı, günlük ihtiyaçlarınızı kolayca karşılamanızı sağlar. Haftalık pazarın dibinde bulunması ise taze ve uygun fiyatlı ürünlere erişimi kolaylaştırır. Otopark imkânı da sunan bu daire, araç sahipleri için ekstra bir avantaj sağlar. Hem merkezi bir konumda yaşamak hem de konforlu bir eve sahip olmak isteyenler için ideal bir seçenek.;Yıldız;03-10-2024;5. Kat;8 Katlı;15 Yaşında;3 + 1;/ 100 m2;;Doğalgaz;
Sahibinden 15 Hazirana kadar kiralıktır;20.000 TL;"Dairemiz Buca Emniyet Müdürlüğü, Taşıtlar Vergi Dairesi, Menderes Caddesine yürüme mesafesindedir.Binamızda 3 daire bulunmaktadır. Yaz mevsiminde kendimiz kullandigimizdan 15 hazirana kadar kiraya verilecektir. Sakin,Temiz,düzenli yaşantısı olanlar tercih edilecektir. Abonelikler ev sahibi üzerinde kalacaktır.
Memur, kurumsal çalışan, tercih edilecektir.
Lütfen emlakçılar aramasın.";Dicle;10-10-2024;Teras Katı;3 Katlı;10 Yaşında;1 + 1;/ 60 m2;Eşyalı;;100 TL
OTOKENT YAKINI ESHOT GENEL MÜDÜRLÜĞÜ KARŞISI 150 M² FERAH KİRALIK 3+1;17.000 TL;"TOPLU TAŞIMA DURAKLARINA YAKIN
AİLE MUHİTİ AİLE APARTMANI
3. KAT
150 M² NET KULLANIM ALANI
ÇİFT CEPHE 
BALKONLU
KLİMALI
SICAK SU İÇİN TERMOSIFON MEVCUTTUR
DETAYLI BİLGİ İÇİN ARAYINIZ.";İnönü;01-10-2024;3. Kat;3 Katlı;20 Yaşında;3 + 1;/ 135 m2;Eşyalı Değil;Elektrik;
AKINCILAR MAH.HAT BOYUNDA FULL TADİLATLI ARAKAT3+1 KİRALIK DAİRE;22.500 TL;"TURYAP AKINCILAR HİPODROM TEMSİLCİLİĞİNDEN
KOD 379
DAİREMİZ ;
AKINCILAR MAHALLESİ MEVKİİNDE HAT BOYU CADDESİNDE
ŞİRİNYER VE KOŞU  İZBANA, TOPLU TAŞIMA DURAKLARINA,
 ECZANE, OKUL, SAĞLIK OCAĞI, MARKET, PAZAR YERİ VS. 
YÜRÜME MESAFESİNDEDİR.
3+1
BRÜT 120 NET 100 METREKARE
DOĞALGAZLI, KAPALI MUTFAKLI, YENİ TADİLATLI
ÇİFT CEPHELİ VE BALKONLU FERAH GENİŞ BİR DAİREDİR. 
DAHA DETAYLI BİLGİ VE RANDEVU  İÇİN LÜTFEN BİZİ ARAYINIZ....
FEVZİ HİTALOĞLU
TEK YETKİLİ TURYAP AKINCILAR HİPODROM TEMSİLCİLİĞİDİR.


Bu ilan Emlak Asistanım CRM Programı tarafından otomatik entegre edilmiştir.";Akıncılar;23-09-2024;1. Kat;4 Katlı;27 Yaşında;3 + 1;/ 100 m2;Eşyalı Değil;Doğalgaz;
BUCA YILDIZ MAHALLESİNDE 2+1 KİRALIK DAİRE;17.000 TL;"Buca yıldız Mahallesi'nde
2+1 açık mutfak
60 M2
yerler parke
aileye öğrenciye memura verilecekdir";Yıldız;06-10-2024;2. Kat;3 Katlı;5 Yaşında;2 + 1;/ 60 m2;Eşyalı Değil;;
REF'DEN KAMPÜS KARŞISI LÜKS EŞYALI BALKONLU 2+1 KİRALIK DAİRE;25.000 TL;"REF GROUP GAYRİMENKUL
2+1 AÇIK MUTFAK
LÜKS EŞYALI
ULAŞIM SIKINTISI OLMAYAN MÜKEMMEL KONUMDA
TINAZTEPE KAMPÜSE 2 DAKİKA YÜRÜME MESAFESİNDE
CAFE RESTAURANT ALIŞVERİŞ MERKEZLERİ ÇEVRESİNDE
(STARBUCKS PABLO MARKET ECZANE )
OTOBÜS VE DOLMUŞ GÜZERGAHINDA";Kuruçeşme;29-09-2024;2. Kat;2 Katlı;4 Yaşında;2 + 1;/ 70 m2;Eşyalı;;100 TL
GOLDİA YAPI'DAN HASANAĞA PARKI YAKINI KİRALIK EŞYALI 1+1;15.000 TL;DETAYLI BİLGİ İÇİN ARAYINIZ;Adatepe;11-10-2024;Ara Kat;4 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;Doğalgaz;150 TL
YENİGÜN BÖLGESİNDE KİRALIK 3+1 DAİRE;35.000 TL;"Doğalgazlı

Yüzme Havuzu

Otopark

Çocuk parkı 

1250 TL";Fırat;14-10-2024;2. Kat;11 Katlı;Sıfır Bina;3 + 1;/ 130 m2;Eşyalı Değil;Doğalgaz;1.250 TL
BUCA MENDERS CAD. ÜSTÜ FULL EŞYALI KİRALIK 2+1 ARA KAT DAİRE;22.000 TL;"MSA GAYRİMENKUL

DAİREMİZ BUCA MENDERES CAD ÜSTÜ OLUP BUCANIN EN HAREKETLİ CADDESİDİR

ULAŞIM VE ALIŞ VERİŞ MERKEZLERİ ELİNİZİN ALTINDA

EVİMİZ MEMUR AİLEYE VEYA ASKERİ PERSONELE KİRALIKTIK

BİLGİ İÇİN ARAYIN";Hürriyet;25-08-2024;Ara Kat;4 Katlı;35 Yaşında;2 + 1;/ 130 m2;Eşyalı;Elektrik;
